family,pair_id,country,predictor,response,lag_years,sample_years,response_start_year,response_end_year,predictor_start_year,predictor_end_year,sample_sha256,transform,regime_breakpoints,fit,n,minimum_years,control_columns,n_controls,rank,df_resid,status,reason,partial_r,beta,beta_ci_low,beta_ci_high,p_hac,q_family,family_size,reject_fdr
regional,PSE__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag0,PSE,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,PSE__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag0,PSE,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response,2,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,PSE__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag1,PSE,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,PSE__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag1,PSE,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,PSE__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag2,PSE,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,2,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,PSE__retail_staple_price_yoy_pct__ipc_current_3plus_fraction__lag2,PSE,retail_staple_price_yoy_pct,ipc_current_3plus_fraction,2,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag0,LBN,conflict_total_deaths_per_100k,refugees_origin_stock_change,0,2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2001.0,2025.0,2001.0,2025.0,13f586b6952f24a8bed33465276b05ade3d20a499f40ffb429af478018d3e3de,signed_log1p,,baseline_time_regime,25,12,intercept_2001_2025;time_2001_2025,2,3.0,22.0,eligible,,-0.09684812541105643,-0.5413649248396346,-2.2390136749480667,1.1562838252687975,0.5152618102275381,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag0,LBN,conflict_total_deaths_per_100k,refugees_origin_stock_change,0,2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2001.0,2025.0,2001.0,2025.0,13f586b6952f24a8bed33465276b05ade3d20a499f40ffb429af478018d3e3de,signed_log1p,,climate_adjusted,25,12,intercept_2001_2025;time_2001_2025;rni_response;dmi_response,4,5.0,20.0,eligible,,-0.17128248451975353,-0.925936444639052,-2.6357526307247,0.7838797414465964,0.2719965858308916,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag1,LBN,conflict_total_deaths_per_100k,refugees_origin_stock_change,1,2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2001.0,2025.0,2000.0,2024.0,ba3d8f0d5b5d39c2b06b3b781c8b38836deb59d70293831cfcd411b92f747133,signed_log1p,,baseline_time_regime,25,12,intercept_2001_2025;time_2001_2025,2,3.0,22.0,eligible,,0.2662409914421766,1.4849681476049927,-1.1997029647064055,4.169639259916391,0.2636554569796631,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag1,LBN,conflict_total_deaths_per_100k,refugees_origin_stock_change,1,2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2001.0,2025.0,2000.0,2024.0,ba3d8f0d5b5d39c2b06b3b781c8b38836deb59d70293831cfcd411b92f747133,signed_log1p,,climate_adjusted,25,12,intercept_2001_2025;time_2001_2025;rni_response;dmi_response;rni_predictor;dmi_predictor,6,7.0,18.0,eligible,,0.33114041737396854,1.752144978503804,-1.4754017285555856,4.979691685563194,0.26901344901947816,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag2,LBN,conflict_total_deaths_per_100k,refugees_origin_stock_change,2,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2002.0,2025.0,2000.0,2023.0,5c64bbff7b0fde8affd29428c3e306a504c000ffbbeb52bf0bea3856f53308d3,signed_log1p,,baseline_time_regime,24,12,intercept_2002_2025;time_2002_2025,2,3.0,21.0,eligible,,0.10914361550208607,0.7999218896089632,-2.768117046079724,4.36796082529765,0.6458504882889922,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag2,LBN,conflict_total_deaths_per_100k,refugees_origin_stock_change,2,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2002.0,2025.0,2000.0,2023.0,5c64bbff7b0fde8affd29428c3e306a504c000ffbbeb52bf0bea3856f53308d3,signed_log1p,,climate_adjusted,24,12,intercept_2002_2025;time_2002_2025;rni_response;dmi_response;rni_predictor;dmi_predictor,6,7.0,17.0,eligible,,0.14032969590719813,1.0087235171378868,-2.263913660075617,4.281360694351391,0.5241855705630891,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag0,LBN,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,LBN__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag0,LBN,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response,2,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
