country,stream_id,target_start,target_iso_year,target_iso_week,baseline_center_iso_year,baseline_center_iso_week,week53_mapped_to52,window_start,window_end,expected_weeks,eligible_weeks,qualified,positive_specimens,tested_specimens,positivity,excluded_week_reasons
ETH,53b5453d29f812a883a9,2025-10-06,2025,41,2024,41,False,2024-09-23,2024-10-27,5,4,True,24.0,529.0,0.045368620037807186,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-10-13,2025,42,2020,42,False,2020-09-28,2020-11-01,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-10-13,2025,42,2021,42,False,2021-10-04,2021-11-07,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-10-13,2025,42,2022,42,False,2022-10-03,2022-11-06,5,5,True,26.0,899.0,0.028921023359288096,{}
ETH,53b5453d29f812a883a9,2025-10-13,2025,42,2023,42,False,2023-10-02,2023-11-05,5,5,True,103.0,991.0,0.10393541876892028,{}
ETH,53b5453d29f812a883a9,2025-10-13,2025,42,2024,42,False,2024-09-30,2024-11-03,5,4,True,27.0,542.0,0.04981549815498155,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-10-20,2025,43,2020,43,False,2020-10-05,2020-11-08,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-10-20,2025,43,2021,43,False,2021-10-11,2021-11-14,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-10-20,2025,43,2022,43,False,2022-10-10,2022-11-13,5,5,True,23.0,902.0,0.025498891352549888,{}
ETH,53b5453d29f812a883a9,2025-10-20,2025,43,2023,43,False,2023-10-09,2023-11-12,5,5,True,153.0,1130.0,0.13539823008849558,{}
ETH,53b5453d29f812a883a9,2025-10-20,2025,43,2024,43,False,2024-10-07,2024-11-10,5,3,False,13.0,411.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2025-10-27,2025,44,2020,44,False,2020-10-12,2020-11-15,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-10-27,2025,44,2021,44,False,2021-10-18,2021-11-21,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-10-27,2025,44,2022,44,False,2022-10-17,2022-11-20,5,5,True,24.0,835.0,0.02874251497005988,{}
ETH,53b5453d29f812a883a9,2025-10-27,2025,44,2023,44,False,2023-10-16,2023-11-19,5,5,True,193.0,1185.0,0.16286919831223629,{}
ETH,53b5453d29f812a883a9,2025-10-27,2025,44,2024,44,False,2024-10-14,2024-11-17,5,4,True,32.0,537.0,0.0595903165735568,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-11-03,2025,45,2020,45,False,2020-10-19,2020-11-22,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-11-03,2025,45,2021,45,False,2021-10-25,2021-11-28,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-11-03,2025,45,2022,45,False,2022-10-24,2022-11-27,5,5,True,29.0,775.0,0.03741935483870968,{}
ETH,53b5453d29f812a883a9,2025-11-03,2025,45,2023,45,False,2023-10-23,2023-11-26,5,5,True,219.0,1220.0,0.17950819672131146,{}
ETH,53b5453d29f812a883a9,2025-11-03,2025,45,2024,45,False,2024-10-21,2024-11-24,5,4,True,55.0,512.0,0.107421875,"{""low_testing"":1}"
