portid,date,year,month,day,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId,source_observed,chokepoint,day_complete,reporting_lag_elapsed,usable,status,source_id,source_version,source_url,fetched_at,unit,provisional
chokepoint1,2019-01-12,2019,1,12,Suez Canal,13.0,11.0,6.0,2.0,13.0,32.0,45.0,893912.0,657561.0,27263.0,2942.0,859363.0,1581679.0,2441043.0,12.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-13,2019,1,13,Suez Canal,14.0,8.0,2.0,1.0,15.0,25.0,40.0,744842.0,304922.0,7518.0,0.0,947238.0,1057283.0,2004521.0,13.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-14,2019,1,14,Suez Canal,19.0,14.0,7.0,4.0,10.0,44.0,54.0,802733.0,290096.0,41096.0,14874.0,390131.0,1148800.0,1538932.0,14.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-15,2019,1,15,Suez Canal,17.0,7.0,5.0,1.0,19.0,30.0,49.0,1037320.0,245336.0,18425.0,0.0,749687.0,1301082.0,2050770.0,15.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-16,2019,1,16,Suez Canal,20.0,4.0,2.0,3.0,13.0,29.0,42.0,1374657.0,269480.0,5322.0,9853.0,1066528.0,1659313.0,2725841.0,16.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-17,2019,1,17,Suez Canal,10.0,9.0,3.0,2.0,15.0,24.0,39.0,608352.0,192306.0,8528.0,13801.0,438824.0,822988.0,1261813.0,17.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-18,2019,1,18,Suez Canal,19.0,6.0,3.0,1.0,13.0,29.0,42.0,1029753.0,360190.0,17973.0,6270.0,705268.0,1414187.0,2119456.0,18.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-19,2019,1,19,Suez Canal,18.0,10.0,6.0,1.0,15.0,35.0,50.0,1032036.0,636038.0,6815.0,2186.0,910228.0,1677077.0,2587306.0,19.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-20,2019,1,20,Suez Canal,13.0,13.0,15.0,2.0,12.0,43.0,55.0,584733.0,664293.0,100358.0,8850.0,468224.0,1358235.0,1826459.0,20.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-21,2019,1,21,Suez Canal,13.0,9.0,5.0,2.0,22.0,29.0,51.0,750272.0,547699.0,20432.0,4612.0,1099518.0,1323017.0,2422536.0,21.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-22,2019,1,22,Suez Canal,13.0,17.0,5.0,3.0,22.0,38.0,60.0,801358.0,881005.0,41126.0,14183.0,976455.0,1737674.0,2714129.0,22.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
