year,rni,dmi
1950,-0.6891666666666668,-0.38400000000000006
1951,0.6441666666666667,-0.027916666666666676
1952,0.016666666666666663,-0.18041666666666667
1953,0.7275,-0.024166666666666673
1954,-0.08249999999999998,-0.44858333333333333
1955,-0.6475000000000001,-0.35141666666666665
1956,-0.18833333333333335,-0.48458333333333337
1957,0.8991666666666666,-0.39033333333333337
1958,0.77,-0.7173333333333333
1959,0.2916666666666667,-0.5718333333333335
1960,0.1166666666666667,-0.5948333333333332
1961,0.04833333333333334,0.13725
1962,-0.14250000000000002,-0.085
1963,0.5216666666666666,0.14591666666666667
1964,-0.2966666666666667,-0.5449166666666667
1965,1.0533333333333335,-0.3076666666666667
1966,0.41750000000000004,-0.19899999999999998
1967,-0.08083333333333335,0.016916666666666667
1968,0.23,-0.18075
1969,0.6308333333333334,-0.20008333333333336
1970,-0.2125,-0.16591666666666663
1971,-0.5383333333333333,-0.14116666666666666
1972,1.0166666666666666,0.3365833333333333
1973,-0.6325,-0.22716666666666663
1974,-0.6616666666666667,-0.23324999999999999
1975,-0.6583333333333333,-0.3055
1976,0.2841666666666667,0.05816666666666667
1977,0.6825,-0.09566666666666666
1978,0.065,-0.3738333333333333
1979,0.30416666666666664,-0.15866666666666665
1980,0.1925,-0.4255
1981,-0.21083333333333332,-0.27166666666666667
1982,1.0858333333333334,0.2225
1983,0.42166666666666663,-0.16633333333333336
1984,-0.5483333333333335,-0.32708333333333334
1985,-0.44583333333333336,-0.38575
1986,0.35083333333333333,-0.2350833333333333
1987,1.1208333333333333,0.09908333333333334
1988,-1.1716666666666666,-0.2010833333333333
1989,-0.6191666666666666,-0.36733333333333335
1990,0.2791666666666667,-0.25749999999999995
1991,0.8949999999999999,0.11500000000000003
1992,0.9758333333333334,-0.5638333333333333
1993,0.6516666666666667,-0.15924999999999997
1994,0.6158333333333333,0.38025
1995,-0.19750000000000004,-0.11349999999999999
1996,-0.3758333333333334,-0.4604166666666667
1997,1.2191666666666665,0.41999999999999993
1998,-0.18916666666666662,-0.16391666666666665
1999,-1.0716666666666665,-0.06391666666666666
2000,-0.7675000000000002,-0.028749999999999998
2001,-0.2975,-0.12233333333333331
2002,0.5883333333333334,-0.0785
2003,0.11750000000000001,-0.034916666666666665
2004,0.425,-0.13516666666666668
2005,-0.004166666666666652,-0.29275
2006,0.047499999999999994,0.08316666666666667
2007,-0.6175,0.10216666666666667
2008,-0.7991666666666667,0.057083333333333326
2009,0.1858333333333333,0.038166666666666675
2010,-0.6000000000000001,-0.041416666666666664
2011,-0.7916666666666666,0.18766666666666665
2012,-0.11416666666666671,0.10683333333333334
2013,-0.41416666666666674,-0.13383333333333333
2014,0.05249999999999999,-0.10025
2015,1.2708333333333333,0.1691666666666667
2016,0.029999999999999954,-0.24691666666666667
2017,-0.47333333333333333,0.26233333333333336
2018,-0.09583333333333333,0.19675
2019,0.2925,0.5331666666666667
2020,-0.6925,0.08833333333333333
2021,-0.9649999999999999,0.024166666666666666
2022,-1.0766666666666669,-0.2141666666666667
2023,0.37166666666666676,0.5995833333333334
2024,-0.23583333333333334,0.16283333333333336
2025,-0.7216666666666667,-0.12991666666666665
