chain,lag,r,ci_lo,ci_hi,n,p,p_lag_search,status,block_length,start_year,end_year,n_shifts,q_all_lags,family_size,q_selected_chain
Interstate (basileia) → Famine deaths,0,0.31845963209433725,0.020757321868470357,0.5731144009619996,124,0.008064516129032258,0.08870967741935484,exploratory,5.0,1900.0,2023.0,123.0,0.5032258064516129,104,0.47257383966244726
Intrastate (ethnos) → Famine deaths,0,0.30629124667357976,0.02017800016708802,0.512639082766707,124,0.024193548387096774,0.13709677419354838,exploratory,5.0,1900.0,2023.0,123.0,0.5032258064516129,104,0.47257383966244726
War (combined) → Refugees,9,0.27595780108732115,-0.01814334193400869,0.519146579272792,70,0.13924050632911392,0.5189873417721519,exploratory,5.0,1947.0,2025.0,78.0,0.9654008438818564,104,0.7588075880758808
Intrastate (ethnos) → Refugees,-1,-0.27438892108307583,-0.552264319020392,0.1287841434377885,78,0.012658227848101266,0.17721518987341772,exploratory,5.0,1947.0,2025.0,78.0,0.5032258064516129,104,0.47257383966244726
Volcano (VEI≥5) → Famine deaths,3,0.14339882032706608,0.06224092377161633,0.23171112821820794,120,0.08130081300813008,0.5691056910569106,exploratory,5.0,1900.0,2022.0,122.0,0.8455284552845528,104,0.7588075880758808
Economic crisis → Coups,8,-0.23777973823105503,-0.38751606225898966,-0.06827252094378955,66,0.05405405405405406,0.5675675675675675,exploratory,5.0,1950.0,2023.0,73.0,0.8030888030888031,104,0.7588075880758808
Economic crisis → Intrastate war,1,-0.10124409659856819,-0.20716083639341484,0.012332246506903776,123,0.24193548387096775,0.9112903225806451,exploratory,5.0,1900.0,2023.0,123.0,1.0,104,1.0
