year,geophysical,solar,conflict_and_humanitarian_impacts,health,hydroclimate_impacts,economy
1900,-0.3343354560699563,,,-46.964503478039646,,
1901,-0.03712951178610925,,,-46.964503478039646,,
1902,0.5198556275042733,,,-46.964503478039646,,
1903,-0.9287473446376504,,,-46.964503478039646,,
1904,-0.3343354560699563,,,-46.964503478039646,,
1905,0.8544883210654319,,,-46.964503478039646,,
1906,1.0030912932073555,,,-46.964503478039646,,0.6917000870638434
1907,1.7086794046396614,,,-46.964503478039646,,0.2983415131767555
1908,-0.6315414003538034,,,-46.964503478039646,,-0.7046302615768418
1909,0.11147346035581428,,,-46.964503478039646,,0.6814331250074941
1910,0.26007643249773776,,,-46.964503478039646,,-0.7046302615768418
1911,-0.18573248392803277,,,-46.964503478039646,,-0.7046302615768418
1912,0.6684585996461968,,,-46.964503478039646,,-0.7046302615768418
1913,-0.6315414003538034,,,-46.964503478039646,,-0.7046302615768418
1914,0.11147346035581428,,,-46.964503478039646,,0.2983415131767555
1915,-0.7801443724957269,,,-46.964503478039646,,-0.7046302615768418
1916,-0.03712951178610925,,,-46.964503478039646,,0.625152224166299
1917,-0.03712951178610925,,,-46.964503478039646,,-0.7046302615768418
1918,-0.4829384282118799,,,72.52735170640138,,-0.7046302615768418
1919,-0.6315414003538034,,,72.52735170640138,,0.6776937762866071
1920,-1.2259532889214975,,,72.52735170640138,,0.2983415131767555
1921,-1.077350316779574,,,-46.964503478039646,,-0.7046302615768418
1922,-1.374556261063421,,,-46.964503478039646,,-0.7046302615768418
1923,-0.03712951178610925,,,-46.964503478039646,,0.2983415131767555
1924,-1.077350316779574,,,-53.18192514003161,,-0.7046302615768418
1925,-0.7801443724957269,,,-53.18192514003161,,-0.7046302615768418
1926,-0.9287473446376504,,,-53.18192514003161,,-0.7046302615768418
1927,-0.4829384282118799,,,-53.18192514003161,,-0.7046302615768418
1928,0.4086794046396613,,,-53.18192514003161,,-0.7046302615768418
1929,-0.18573248392803277,,,-53.18192514003161,,1.8972992300857248
1930,-1.671762205347268,,,-53.18192514003161,,-0.7046302615768418
1931,1.560076432497738,,,-53.18192514003161,,0.2983415131767555
1932,-0.07455626106342073,,,-53.18192514003161,,-0.7046302615768418
1933,-1.077350316779574,,,-53.18192514003161,,0.2983415131767555
1934,-0.4829384282118799,,,-53.18192514003161,,-0.7046302615768418
1935,-0.3343354560699563,,,-53.18192514003161,,-0.7046302615768418
1936,-0.9287473446376504,,,-53.18192514003161,,-0.7046302615768418
1937,-0.9287473446376504,,,-53.18192514003161,,0.7326421076970988
1938,1.151694265349279,,,-53.18192514003161,,-0.7046302615768418
1939,-0.18573248392803277,,,-53.18192514003161,,0.6716283358866473
1940,-1.077350316779574,,,-53.18192514003161,,-0.7046302615768418
1941,-0.6315414003538034,,,-53.18192514003161,,-0.7046302615768418
