country,period_start,period_end,metric,value,unit,numerator,denominator,frequency,source_id,source_version,source_url,published_at,fetched_at,provisional,dimensions,quality_note
ETH,2003-01-01,2003-12-31,conflict_battle_deaths,50.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2003-01-01,2003-12-31,conflict_civilian_targeting_deaths,511.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2003-01-01,2003-12-31,conflict_nonstate_deaths,532.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2003-01-01,2003-12-31,conflict_total_deaths,1093.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2004-01-01,2004-12-31,conflict_battle_deaths,50.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2004-01-01,2004-12-31,conflict_civilian_targeting_deaths,244.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2004-01-01,2004-12-31,conflict_nonstate_deaths,181.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2004-01-01,2004-12-31,conflict_total_deaths,475.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2005-01-01,2005-12-31,conflict_battle_deaths,83.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2005-01-01,2005-12-31,conflict_civilian_targeting_deaths,24.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2005-01-01,2005-12-31,conflict_nonstate_deaths,183.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2005-01-01,2005-12-31,conflict_total_deaths,290.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2006-01-01,2006-12-31,conflict_battle_deaths,50.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2006-01-01,2006-12-31,conflict_civilian_targeting_deaths,20.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2006-01-01,2006-12-31,conflict_nonstate_deaths,360.0,deaths,,,annual,ucdp,26.1,https://ucdp.uu.se/downloads/organizedviolencecy/organizedviolencecy-261-csv.zip,,2026-09-07T11:32:05.412663+00:00,False,"{""geographic_scope"": ""UCDP source-country territory"", ""population_denominator_compatible"": true, ""source_country_id"": 530, ""source_country_name"": ""Ethiopia""}",UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
