event_id,kind,catalog_date_td,global_type,element_source,greatest_td,delta_t_seconds,local_geometry_type,local_visible_type,visible,local_maximum_ut1,local_maximum_altitude_deg,local_maximum_azimuth_deg,local_magnitude,local_obscuration,full_local_partial_duration_seconds,visible_partial_duration_seconds,full_local_central_duration_seconds,visible_central_duration_seconds,visible_start_ut1,visible_end_ut1,maximum_at_horizon_flag,location_id,time_scale,prediction_status,full_penumbral_duration_seconds,visible_penumbral_duration_seconds,visible_penumbral_intervals_ut1,full_umbral_duration_seconds,visible_umbral_duration_seconds,visible_umbral_intervals_ut1,full_total_duration_seconds,visible_total_duration_seconds,visible_total_intervals_ut1,maximum_above_model_horizon,penumbral_magnitude,umbral_magnitude
solar-09295,solar,1906-07-21,P,SE1901,1906-07-21T13:14:19.104,5.8,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09434,lunar,1906-08-04,T,LE1901,1906-08-04T13:00:10.397,5.8,T,none,False,1906-08-04T13:00:04.604,-44.493148497720554,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,20036.879999999997,0,[],13122.576,0,[],6069.132,0,[],False,2.762,1.779
solar-09296,solar,1906-08-20,P,SE1901,1906-08-20T01:12:49.594,5.9,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
solar-09297,solar,1907-01-14,T,SE1901,1907-01-14T06:05:43.008,6.4,P,P,True,1907-01-14T04:48:02.517,0.7018224220533076,116.03249756105089,0.5594431891330525,0.46,6740.4074714343815,3859.8524783158955,,,1907-01-14T04:42:34.885,1907-01-14T05:46:54.737,0,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09435,lunar,1907-01-29,P,LE1901,1907-01-29T13:37:59.520,6.5,P,N,True,1907-01-29T13:37:53.020,-17.019173119711294,,,,,,,,1907-01-29T15:10:43.705,1907-01-29T16:28:24.004,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,20465.172000000002,4660.298953125022,"[[""1907-01-29T15:10:43.705"", ""1907-01-29T16:28:24.004""]]",11008.619999999999,0,[],,,,False,1.794,0.711
solar-09298,solar,1907-07-10,A,SE1901,1907-07-10T15:24:32.342,7,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09436,lunar,1907-07-25,P,LE1901,1907-07-25T04:22:27.350,7.1,P,N,True,1907-07-25T04:22:20.272,-19.155799338446332,,,,,,,,1907-07-25T02:00:04.384,1907-07-25T02:43:27.909,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,17071.38,2603.5253906249914,"[[""1907-07-25T02:00:04.384"", ""1907-07-25T02:43:27.909""]]",9405.792,0,[],,,,False,1.559,0.615
solar-09299,solar,1908-01-03,T,SE1901,1908-01-03T21:45:21.600,7.7,P,none,False,,,,,,4868.74894955468,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09437,lunar,1908-01-18,N,LE1901,1908-01-18T13:21:36.461,7.7,N,N,True,1908-01-18T13:21:28.732,-17.066856474418692,,,,,,,,1908-01-18T14:58:30.774,1908-01-18T15:11:12.880,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,13169.771999999999,762.1059843750082,"[[""1908-01-18T14:58:30.774"", ""1908-01-18T15:11:12.880""]]",,,,,,,False,0.537,-0.568
lunar-09438,lunar,1908-06-14,N,LE1901,1908-06-14T14:06:31.795,8.3,N,none,False,1908-06-14T14:06:23.524,-31.5565734569442,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,13796.748000000001,0,[],,,,,,,False,0.813,-0.154
