country,month,official_fx,official_fx_log_yoy,official_fx_yoy_pct
ISR,2015-01,3.94213636364,,
ISR,2015-02,3.8955,,
ISR,2015-03,3.99486363636,,
ISR,2015-04,3.93222727273,,
ISR,2015-05,3.86435714286,,
ISR,2015-06,3.81531818182,,
ISR,2015-07,3.78980434783,,
ISR,2015-08,3.83138961039,,
ISR,2015-09,3.90149173554,,
ISR,2015-10,3.86040909091,,
ISR,2015-11,3.88871428571,,
ISR,2015-12,3.87491304348,,
ISR,2016-01,3.94866666667,0.001655168554017875,0.1656539101547061
ISR,2016-02,3.9070952381,0.002972151260416826,0.2976572481067974
ISR,2016-03,3.86376521739,-0.033367292099519885,-3.2816744425712807
ISR,2016-04,3.7744952381,-0.04093933941136689,-4.011264448621055
ISR,2016-05,3.81647727273,-0.01246752312005751,-1.2390125539629704
ISR,2016-06,3.85586363636,0.010570948013684764,1.0627017881024825
ISR,2016-07,3.85683333333,0.017532072316659205,1.7686661196211872
ISR,2016-08,3.79445652174,-0.009686368379969782,-0.9639606619448071
ISR,2016-09,3.76338636364,-0.036039795588004346,-3.539809418073392
ISR,2016-10,3.81895887446,-0.010795320443863497,-1.0737260086658207
ISR,2016-11,3.84517561983,-0.011259308412164786,-1.1196159625301627
ISR,2016-12,3.82930681818,-0.011839422769273297,-1.176961257923903
ISR,2017-01,3.81621590909,-0.034118637251843185,-3.354315994763335
ISR,2017-02,3.7245,-0.04786157741499869,-4.673426854800589
ISR,2017-03,3.65106521739,-0.056623187561081395,-5.504992876965764
ISR,2017-04,3.65295,-0.032731601659947096,-3.2201719814907825
ISR,2017-05,3.59319565217,-0.060285856879340766,-5.850463781231485
ISR,2017-06,3.52845454545,-0.08873504284972915,-8.49119994344717
ISR,2017-07,3.54819047619,-0.08340871829815133,-8.002494027231332
ISR,2017-08,3.59954347826,-0.052734165738183465,-5.136784210420197
ISR,2017-09,3.5319047619,-0.06348186268314998,-6.150885914251647
ISR,2017-10,3.51027272727,-0.08428410498200337,-8.082992180261384
ISR,2017-11,3.51677272727,-0.08927554656035022,-8.540647424954784
ISR,2017-12,3.50107482993,-0.08961378377469979,-8.571577150509002
ISR,2018-01,3.42658385093,-0.10769552888534345,-10.209906028427774
ISR,2018-02,3.4953,-0.06351340572232586,-6.153846153846153
ISR,2018-03,3.46883333333,-0.051200643151003256,-4.991197724763463
ISR,2018-04,3.5381031746,-0.031944303183992696,-3.1439473685651365
ISR,2018-05,3.58589130435,-0.0020348967451510563,-0.20328277464068956
ISR,2018-06,3.60676190476,0.021950421268557615,2.2193104176722045
ISR,2018-07,3.64438636364,0.02675025260432463,2.711125236807854
ISR,2018-08,3.66145652174,0.017053999182698388,1.7200248824311481
ISR,2018-09,3.589275,0.016112914221148866,1.6243427263066268
ISR,2018-10,3.65723913043,0.04101479227446426,4.186751702176106
ISR,2018-11,3.70011363636,0.050819801495838396,5.213328335616496
ISR,2018-12,3.75497619048,0.07001192882770704,7.252097509583266
ISR,2019-01,3.68673913043,0.0731785598145956,7.59226363100356
ISR,2019-02,3.6257,0.03662816420097491,3.730724115240469
ISR,2019-03,3.61638095238,0.04165546660871254,4.253522866962234
ISR,2019-04,3.59447727273,0.0158078194761818,1.5933424026384868
ISR,2019-05,3.593,0.0019804445204920215,0.19824068959861663
ISR,2019-06,3.596575,-0.0028283868117687356,-0.2824390694200152
ISR,2019-07,3.54523913043,-0.027582387719206226,-2.720546707099736
ISR,2019-08,3.50845454545,-0.042685384933571005,-4.178718916407897
ISR,2019-09,3.52571428571,-0.01786718226418617,-1.7708510573862468
ISR,2019-10,3.51765217391,-0.03891475578978236,-3.8167303679589537
ISR,2019-11,3.48369047619,-0.060271318171561054,-5.849094958686374
ISR,2019-12,3.47337878788,-0.07795411015182684,-7.499312600541497
ISR,2020-01,3.46083333333,-0.0632329550112181,-6.127523242298171
ISR,2020-02,3.4335,-0.05446722403424895,-5.301045315387376
ISR,2020-03,3.55765909091,-0.016371019011581084,-1.623774216357221
ISR,2020-04,3.56997727273,-0.006839347042215367,-0.6816011937499922
ISR,2020-05,3.51866666667,-0.020905378157466365,-2.0688375544113513
ISR,2020-06,3.45968181818,-0.038805378938051326,-3.8062095693819797
ISR,2020-07,3.43210869565,-0.032430761050699496,-3.191052299094943
ISR,2020-08,3.402,-0.03081214610180713,-3.034229005134381
ISR,2020-09,3.42363636364,-0.029379799548960212,-2.8952409015027047
ISR,2020-10,3.39365909091,-0.035885053888399646,-3.524881849309658
ISR,2020-11,3.36247619048,-0.035414549531980775,-3.4794792057005086
ISR,2020-12,3.2477173913,-0.06717542584706782,-6.496884168447803
ISR,2021-01,3.22785714286,-0.06969091404488381,-6.731794571737759
ISR,2021-02,3.271225,-0.04841561658413391,-4.726226882190188
ISR,2021-03,3.31382608696,-0.07099933050295146,-6.853748426121154
ISR,2021-04,3.28052272727,-0.0845564518207781,-8.10802207820922
ISR,2021-05,3.25842857143,-0.0768370841143809,-7.395929194005879
ISR,2021-06,3.2485,-0.06298327343901454,-6.104082088424367
ISR,2021-07,3.27081818182,-0.04813469023100415,-4.6994582087224295
ISR,2021-08,3.22518181818,-0.05337416758486623,-5.197477419753094
ISR,2021-09,3.20690909091,-0.06539567720385067,-6.330323951214734
ISR,2021-10,3.21535714286,-0.05397027918641497,-5.253973462672967
ISR,2021-11,3.12168181818,-0.07430576312707772,-7.161221631301007
ISR,2021-12,3.13506521739,-0.03530243158238198,-3.468656916139723
ISR,2022-01,3.1344047619,-0.029379206363697945,-2.895183300373627
ISR,2022-02,3.21605,-0.017010634034915987,-1.6866770093772132
ISR,2022-03,3.24276086957,-0.021678352147723567,-2.1445065469682723
ISR,2022-04,3.24269047619,-0.011599398664646458,-1.1532384996303158
ISR,2022-05,3.37725,0.03581672300811921,3.6465868735570783
ISR,2022-06,3.40854545455,0.048092296039514086,4.926749408957987
ISR,2022-07,3.46452380952,0.05753503236784047,5.922237707270406
ISR,2022-08,3.30015217391,0.022979254326505456,2.324531141388686
ISR,2022-09,3.44618181818,0.07195932558120309,7.461163397123416
ISR,2022-10,3.53530952381,0.09486241734585307,9.950757154939517
ISR,2022-11,3.47668181818,0.10770643751493277,11.372075076087418
ISR,2022-12,3.45409090909,0.09690932245939445,10.17604641620804
ISR,2023-01,3.44361363636,0.09408210826274867,9.864995045265479
ISR,2023-02,3.5354625,0.09469022684292634,9.931826308670576
ISR,2023-03,3.61883695652,0.10972760429248976,11.597404251392396
ISR,2023-04,3.6348,0.11415070973526878,12.092104586889496
ISR,2023-05,3.66808695652,0.08260849203945632,8.611650204160192
ISR,2023-06,3.64586363636,0.067307627290433,6.962447324656007
ISR,2023-07,3.6700952381,0.057642417678019926,5.933612810370059
ISR,2023-08,3.7382173913,0.1246402837431071,13.274091445031244
ISR,2023-09,3.82142857143,0.10335742547802569,10.888768296275654
ISR,2023-10,3.97377272727,0.11691509728533617,12.402399295082622
ISR,2023-11,3.80922727273,0.09134801461972136,9.565024121881915
ISR,2023-12,3.67104761905,0.06091777679091615,6.28115228203876
ISR,2024-01,3.71069565217,0.0746979706576276,7.755864740166207
ISR,2024-02,3.64733333333,0.031152181670140285,3.164248901805644
ISR,2024-03,3.63057142857,0.003237362740591298,0.3242608658800883
ISR,2024-04,3.74488636364,0.02983718418243857,3.0286773313524806
ISR,2024-05,3.70302173913,0.00947891168766259,0.9523978854400816
ISR,2024-06,3.72675,0.021943265500007057,2.218578962562523
ISR,2024-07,3.67780434783,0.002098317340460315,0.21005203488917434
ISR,2024-08,3.732,-0.0016645814733190372,-0.16631968259710472
ISR,2024-09,3.73211904762,-0.023648142662835714,-2.3370716511019296
ISR,2024-10,3.76345652174,-0.054378129764800574,-5.29260780534091
ISR,2024-11,3.7219047619,-0.023190783002497987,-2.292394351346161
ISR,2024-12,3.62225,-0.013381696395336045,-1.3292559539891724
ISR,2025-01,3.6157826087,-0.02591104491824151,-2.5578234478620065
ISR,2025-02,3.57095,-0.02116464013852533,-2.0942240905703735
ISR,2025-03,3.65135714286,0.005708864221496078,0.5725190840877303
ISR,2025-04,3.699,-0.012328760171176546,-1.2253072372374718
ISR,2025-05,3.56690909091,-0.037449752690819044,-3.675718313551646
ISR,2025-06,3.49242857143,-0.06493918021711437,-6.287554264976181
ISR,2025-07,3.35243478261,-0.09262904688190128,-8.84684269330358
ISR,2025-08,3.40080952381,-0.09293078446491937,-8.87434287754556
ISR,2025-09,3.34172727273,-0.11048836078637551,-10.460324815709065
ISR,2025-10,3.2852826087,-0.13588514453059478,-12.705711100361539
ISR,2025-11,3.2535,-0.13450423005692314,-12.58508188320443
ISR,2025-12,3.22,-0.11771402016237763,-11.104976188832904
ISR,2026-01,3.14618181818,-0.13911872503549705,-12.987528326235243
ISR,2026-02,3.10105,-0.1410909030147388,-13.158963301082348
ISR,2026-03,3.111775,-0.15990561551702162,-14.777577808709253
ISR,2026-04,,,
ISR,2026-05,,,
ISR,2026-06,,,
ISR,2026-07,,,
ISR,2026-08,,,
PSE,2015-01,,,
PSE,2015-02,,,
PSE,2015-03,,,
PSE,2015-04,,,
PSE,2015-05,,,
PSE,2015-06,,,
PSE,2015-07,,,
PSE,2015-08,,,
PSE,2015-09,,,
PSE,2015-10,,,
PSE,2015-11,,,
PSE,2015-12,,,
PSE,2016-01,,,
PSE,2016-02,,,
PSE,2016-03,,,
PSE,2016-04,,,
PSE,2016-05,,,
PSE,2016-06,,,
PSE,2016-07,,,
PSE,2016-08,,,
PSE,2016-09,,,
PSE,2016-10,,,
PSE,2016-11,,,
PSE,2016-12,,,
PSE,2017-01,,,
PSE,2017-02,,,
PSE,2017-03,,,
PSE,2017-04,,,
PSE,2017-05,,,
PSE,2017-06,,,
PSE,2017-07,,,
PSE,2017-08,,,
PSE,2017-09,,,
PSE,2017-10,,,
PSE,2017-11,,,
PSE,2017-12,,,
PSE,2018-01,,,
PSE,2018-02,,,
PSE,2018-03,,,
PSE,2018-04,,,
PSE,2018-05,,,
PSE,2018-06,,,
PSE,2018-07,,,
PSE,2018-08,,,
PSE,2018-09,,,
PSE,2018-10,,,
PSE,2018-11,,,
PSE,2018-12,,,
PSE,2019-01,,,
PSE,2019-02,,,
PSE,2019-03,,,
PSE,2019-04,,,
PSE,2019-05,,,
PSE,2019-06,,,
PSE,2019-07,,,
PSE,2019-08,,,
PSE,2019-09,,,
PSE,2019-10,,,
PSE,2019-11,,,
PSE,2019-12,,,
PSE,2020-01,,,
PSE,2020-02,,,
PSE,2020-03,,,
PSE,2020-04,,,
PSE,2020-05,,,
PSE,2020-06,,,
PSE,2020-07,,,
PSE,2020-08,,,
PSE,2020-09,,,
PSE,2020-10,,,
PSE,2020-11,,,
PSE,2020-12,,,
PSE,2021-01,,,
PSE,2021-02,,,
PSE,2021-03,,,
PSE,2021-04,,,
PSE,2021-05,,,
PSE,2021-06,,,
PSE,2021-07,,,
PSE,2021-08,,,
PSE,2021-09,,,
PSE,2021-10,,,
PSE,2021-11,,,
PSE,2021-12,,,
PSE,2022-01,,,
PSE,2022-02,,,
PSE,2022-03,,,
PSE,2022-04,,,
PSE,2022-05,,,
PSE,2022-06,,,
PSE,2022-07,,,
PSE,2022-08,,,
PSE,2022-09,,,
PSE,2022-10,,,
PSE,2022-11,,,
PSE,2022-12,,,
PSE,2023-01,,,
PSE,2023-02,,,
PSE,2023-03,,,
PSE,2023-04,,,
PSE,2023-05,,,
PSE,2023-06,,,
PSE,2023-07,,,
PSE,2023-08,,,
PSE,2023-09,,,
PSE,2023-10,,,
PSE,2023-11,,,
PSE,2023-12,,,
PSE,2024-01,,,
PSE,2024-02,,,
PSE,2024-03,,,
PSE,2024-04,,,
PSE,2024-05,,,
PSE,2024-06,,,
PSE,2024-07,,,
PSE,2024-08,,,
PSE,2024-09,,,
PSE,2024-10,,,
PSE,2024-11,,,
PSE,2024-12,,,
PSE,2025-01,,,
PSE,2025-02,,,
PSE,2025-03,,,
PSE,2025-04,,,
PSE,2025-05,,,
PSE,2025-06,,,
PSE,2025-07,,,
PSE,2025-08,,,
PSE,2025-09,,,
PSE,2025-10,,,
PSE,2025-11,,,
PSE,2025-12,,,
PSE,2026-01,,,
PSE,2026-02,,,
PSE,2026-03,,,
PSE,2026-04,,,
PSE,2026-05,,,
PSE,2026-06,,,
PSE,2026-07,,,
PSE,2026-08,,,
LBN,2015-01,1511.47727272727,,
LBN,2015-02,1506.595,,
LBN,2015-03,1504.04545454546,,
LBN,2015-04,1507.43636363636,,
LBN,2015-05,1507.11904761905,,
LBN,2015-06,1507.47727272727,,
LBN,2015-07,1507.87391304348,,
LBN,2015-08,1508.41463203463,,
LBN,2015-09,1507.95330578512,,
LBN,2015-10,1507.85,,
LBN,2015-11,1506.91904761905,,
LBN,2015-12,1471.80434782609,,
LBN,2016-01,1511.52857142857,3.393887008474123e-05,0.0033939446014707997
LBN,2016-02,1509.59238095238,0.0019875303225627044,0.19895067701538593
LBN,2016-03,1509.06173913043,0.0033296453773258555,0.33351948039934687
LBN,2016-04,1508.61571428571,0.0007820493008663205,0.0782355181153438
LBN,2016-05,1510.59227272727,0.0023018945638962397,0.23045459572068605
LBN,2016-06,1513.25045454546,0.0038223827955145865,0.382969741742456
LBN,2016-07,1513.96428571429,0.004030911330594275,0.403904638055419
LBN,2016-08,1513.61413043478,0.0034410681958459703,0.34469954677758263
LBN,2016-09,1514.03863636364,0.0040273693115006936,0.40354900613794875
LBN,2016-10,1514.13428571429,0.004159051920052934,0.4167712779314936
LBN,2016-11,1514.08227272727,0.004742294208654072,0.47535566821177433
LBN,2016-12,1513.87340909091,0.028182442379583825,2.858332449347478
LBN,2017-01,1514.07272727273,0.0016817526122073908,0.1683167551213005
LBN,2017-02,1512.23375,0.0017481943737753828,0.17497233564160997
LBN,2017-03,1510.82108695652,0.0011651763505115664,0.11658554321998249
LBN,2017-04,1511.868,0.002153487506509681,0.21558079260959317
LBN,2017-05,1511.12826086957,0.00035475692868490455,0.035481986236596263
LBN,2017-06,1510.17090909091,-0.0020371269162602237,-0.20350533814805782
LBN,2017-07,1507.40333333333,-0.004343041642681281,-0.4333624275598136
LBN,2017-08,1506.65217391304,-0.004610168873055877,-0.4599558356223943
LBN,2017-09,1509.08666666667,-0.0032760627691875164,-0.32707023308622407
LBN,2017-10,1509.15409090909,-0.003294557904789709,-0.3289136803906745
LBN,2017-11,1510.68090909091,-0.0022490124783959716,-0.22464853447053956
LBN,2017-12,1512.1956462585,-0.001108872913100754,-0.11082583407139301
LBN,2018-01,1511.13136645963,-0.0019445707785829167,-0.19426813257498177
LBN,2018-02,1512.9725,0.0004883964620162223,0.048851574698693945
LBN,2018-03,1513.28946969697,0.0016324689474043316,0.16338021502084743
LBN,2018-04,1513.46722222222,0.001057219946688321,0.10577790006931487
LBN,2018-05,1514.13043478261,0.0019847392904718,0.19867101891883898
LBN,2018-06,1512.90833333333,0.001811017688312379,0.18126585712525678
LBN,2018-07,1513.23068181818,0.0038583659489523476,0.3865819025332895
LBN,2018-08,1511.67608695652,0.0033289405583411436,0.33344876345493546
LBN,2018-09,1510.4025,0.0008715602832095112,0.08719402022392408
LBN,2018-10,1510.775,0.0010734750371747825,0.10740514177274285
LBN,2018-11,1511.30340909091,0.000411980965658537,0.04120658414719092
LBN,2018-12,1508.85952380952,-0.0022085818479060226,-0.22061447255414812
LBN,2019-01,1509.76043478261,-0.0009076338123534211,-0.09072220373744777
LBN,2019-02,1510.90425,-0.001367946178707484,-0.13670109668220132
LBN,2019-03,1510.71642857143,-0.0017017438676024525,-0.17002967225134835
LBN,2019-04,1510.75704545455,-0.0017923125094572768,-0.17907072765610543
LBN,2019-05,1511.6647826087,-0.0016297551833581495,-0.16284278535514396
LBN,2019-06,1511.25375,-0.0010942426052781389,-0.10936441401471209
LBN,2019-07,1511.21630434783,-0.001332063532554707,-0.13311767297302657
