country,series_id,dimensions,currency,baseline_months,eligible
ETH,7331be7ac0e374767dc6be896558131c6520eb725f51be0a4728416255b2cbc9,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""468"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,affcdff519cb458565d10e52fe0271f6f7aef744b521c816cebe164270fbd193,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""469"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,3fba87e16ed90f82e298ffb330c43fdbfa5fabeb00a5f60ff9b3314dfeb809cd,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""475"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,0fe8c40b7ad6c58a3eadf6fdf1cb7557b1abf86198d99ed403fd07829dbee56b,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""477"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,1,False
ETH,f90e6c646c94b616ea466ae41d0f8fdd2ae4f32ab0db9905b79ce35c2d731360,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""483"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,58289b3ccac6b640c4f95295124a67fd91afc88caa27be37cfcd93caf24c48e1,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""487"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,f4e03f91400028fc29b45a8d71a58ede396eeec6bbbde18c8ebcee74fd03d795,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""488"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,9cdd02c921091e6679107d81dda44a6fb5603bba6312ea4efbf63469b37e84ab,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""489"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,1,False
ETH,487cd534ef5e72a0d4aa70acbfb48476eb8ad28e8dc1cc45dd59243115c4a28c,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""494"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,1,False
ETH,fea8827e46f0f8cb393f745bb568b4e86560822633091537c394a8e3b3921b0f,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""496"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,1,False
ETH,b8921cd0d7511b603a8b528be0cb01588bf659a4b50fd3367254994a4116e784,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""507"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,1,False
ETH,a6ce3ac592d9a713fe7d8550a98ce8e49b1dbede6c1283b6d6af5c3ea87d71bf,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""508"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,1,False
ETH,55c705959ebfba7ca5452fa973fa4deef7fccfd48c06018e27d54fac908be06c,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""509"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,1,False
ETH,7518c5f72a97236bf9e9e737e3c907b2f93d541618ae9315b016c376dabd0ee4,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""510"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,1,False
ETH,9ab677095482c3d07feeab59b90be9e0690451f91d5828a94b64a70d486342b5,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""511"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,59e672c0ec2f70a845d9f0855cf8326145f1c82f44ab855c3b2f0348b8ed0e93,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""516"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,5696bf8770092b9ddc55fda916f7197f5bd42e3a397a93881c64c344bcae2be2,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""7548"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,bd84a3c8c40fa92e0b328952158d23561c10660925eadf5bd6aace1bf574c4e9,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""7562"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,ae4ac2802b3f2b0b6c5b1e26795b722bb40a773b5bcd5bc6561d40d068e827ee,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""7569"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,484b0d6140199a98713e055da48a2189858afda5df846e8f452d3d9554fca11b,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""7574"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,16a201db391d6c1d5ee2dd479545f1952c833b4cfd28818cf8d8326d8be0eba8,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""7576"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,c31e2fd020fbb83222d7b312fef1275ce30633c891b852e44de1a4950470d566,"{""commodity"": ""Barley"", ""commodity_id"": ""307"", ""currency"": ""ETB"", ""market_id"": ""7577"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,201dfc8274a30a265172d95d52346d362f1fed20ffbc9489dd023733819c8316,"{""commodity"": ""Maize (food aid)"", ""commodity_id"": ""514"", ""currency"": ""ETB"", ""market_id"": ""3662"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,946e4367b5034b3f11fcc8e3fcff3b8bd7f04a6f58f8b8bb081d7c930c1cc5b8,"{""commodity"": ""Maize (food aid)"", ""commodity_id"": ""514"", ""currency"": ""ETB"", ""market_id"": ""460"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,1bd7f45d6f20b2fc6ebea4002109de4aee8c3e240568665f6d98008fd344bd1f,"{""commodity"": ""Maize (food aid)"", ""commodity_id"": ""514"", ""currency"": ""ETB"", ""market_id"": ""462"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,6d46e73f8ff7cedd3625577d39daf4ebdee5d810f967bf873d2ea1be45c4e4e7,"{""commodity"": ""Maize (food aid)"", ""commodity_id"": ""514"", ""currency"": ""ETB"", ""market_id"": ""466"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,619005aeb6f3c50b3d46c10b0f34ef36cd93bee9eb9fb4c3c0906fb208263d3a,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""10098"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,c5f2b29cef5115bb144db767b7f1be5634fcb9c30308cf43a8bf12b27d47934d,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""10277"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,18af22d16faed2af0abfa28f3d197ddd7703f798f3088932f5d91bdda22ffc82,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""10520"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,5c8651183b0f6d59a129be9f51c3b02f6f8cf8a18f8b796e1aaccaba57b00100,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""10521"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
ETH,b66c00c09d44d86a6cae77128ec18f7b0aa91d37320fc78430464c76f08226c6,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""1831"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,12,False
ETH,ff96c38a30437280b736065f01270a723b4e72effed737c0c95ecd1b62fa6c8c,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""1832"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,3,False
ETH,75e893be73bca701e6a3ff39f215a99f454a8d456f6e3e6f16583b91b0bedd78,"{""commodity"": ""Maize (white)"", ""commodity_id"": ""67"", ""currency"": ""ETB"", ""market_id"": ""3070"", ""pricetype"": ""Retail"", ""unit"": ""100 KG""}",ETB,0,False
